,IDENTIFIANT_CREDIT,IDENTIFIANT_TIERS,VILLE_RC,REGION_RC,VILLE_TIERS,REGION_TIERS,DATE_CREATION_ENTREPRISE,CODE_SECT_ACTIVITE,CODE_BRANCHE_ACTIVITE,CODE_SSBRANCHE_ACT,NBRE_EMPLOI_ACREER,NBRE_EMPLOI_EXIST,ID_IFP,TAUX_INTERET,PERIODICITE,DATE_ACCORD,DUREE_CONCOURS,UNITE_DUREE_CONCOURS,DATE_PREMIER_DEBLOCAGE,CENTRE_AFFAIRE,FINALITE_CREDIT,CLASSE_RISQUE,NBRE_JOUR_IMPAYE,MONTANT_DEMANDE_MEJ,AGE1,AGE2,AGE3,ANTP1,ANTP2,ANTP3,CU,CV,CW,DO,DU,ENGA1,ENGA2,ENGA3,ET,EXP1,EXP2,EXP3,FF,FI,GI2,GI3,HA1,HA3,HA4,HA5,HDG,HP,HZ,JCX,KW,LFAS1,LFAS2,LFAS3,LOCALE,LP,LV,MC,MD,MP,MT,MU,NIVED1,NIVED2,NIVED3,NOTE11,NOTE12,NOTE13,NOTE14,PATR1,PATR2,PATR3,QALDE,RGI,DEFAUT
10,3088383,01A1433,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,22/10/2009,4521,45,452,0,63,24,1.0,Mensuelle,08/01/2019,60.0,mois,31/12/2018,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,9168659.5,1806304.5,7362355.0,3025272.25,6338832.5,0.0,0.0,0.0,9724715.0,0.0,0.0,0.0,215965.75,17303035.75,17581.0,6647.25,25371095.75,3852598.75,1348847.5,1186935.75,17199682.5,2438185.75,1002001.0,-99099.0,840089.25,0.0,0.0,0.0,0.0,8300292.0,1263762.5,9564054.5,3570567.0,5423167.75,2315813.5,17303035.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50691.0,0
11,3080085,01A1487,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,26/07/2013,4030,40,403,5,4,22,1.0,Mensuelle,30/10/2018,60.0,mois,,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,15447932.5,4009505.5,11438427.0,486736.25,5831575.75,0.0,0.0,0.0,7415658.25,0.0,0.0,0.0,456706.25,19310791.5,12271.0,11477.75,13247984.75,4215211.0,1579828.25,1958206.25,4418414.0,2581078.5,597346.75,-165415.25,406406.0,0.0,0.0,0.0,0.0,6958201.25,9455696.25,16413897.5,1600599.0,2896894.0,0.0,19310791.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25171.0,0
12,3080094,01A1487,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,26/07/2013,4030,40,403,5,4,22,1.0,Mensuelle,30/10/2018,60.0,mois,,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,15447932.5,4009505.5,11438427.0,486736.25,5831575.75,0.0,0.0,0.0,7415658.25,0.0,0.0,0.0,456706.25,19310791.5,12271.0,11477.75,13247984.75,4215211.0,1579828.25,1958206.25,4418414.0,2581078.5,597346.75,-165415.25,406406.0,0.0,0.0,0.0,0.0,6958201.25,9455696.25,16413897.5,1600599.0,2896894.0,0.0,19310791.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25171.0,0
13,3084034,01A1487,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,26/07/2013,5166,51,516,5,4,23,1.0,Mensuelle,05/12/2018,60.0,mois,05/03/2019,CENTRE D’AFFAIRES DE CASABLANCA,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,15447932.5,4009505.5,11438427.0,486736.25,5831575.75,0.0,0.0,0.0,7415658.25,0.0,0.0,0.0,456706.25,19310791.5,12271.0,11477.75,13247984.75,4215211.0,1579828.25,1958206.25,4418414.0,2581078.5,597346.75,-165415.25,406406.0,0.0,0.0,0.0,0.0,6958201.25,9455696.25,16413897.5,1600599.0,2896894.0,0.0,19310791.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25171.0,0
14,3090807,01A1544,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,23/04/2002,1744,17,174,10,500,23,1.0,Mensuelle,11/02/2019,60.0,mois,05/02/2020,CENTRE D’AFFAIRES DE CASABLANCA,Développement,A,,,0.0,0.0,0.0,0.0,0.0,0.0,19235966.75,5649393.75,13586573.0,18606337.75,8341833.5,0.0,0.0,0.0,31199918.75,0.0,0.0,0.0,327577.25,45114069.0,59906502.25,122287.5,106747390.75,25643367.75,7843335.5,5387131.75,76983406.5,18366848.5,6695939.25,-973472.5,3890386.5,0.0,0.0,0.0,0.0,19873603.75,0.0,19873603.75,17801784.0,22373851.5,2866613.75,45114069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214501.5,0
15,3068520,01A1598,RABAT,Rabat-Salé-Kénitra,RABAT,Rabat-Salé-Kénitra,05/11/1998,5211,52,521,0,0,36,6.5,Mensuelle,12/07/2018,180.0,mois,,CENTRE D’AFFAIRES DE RABAT,Développement,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,3071357,01A1647,INZEGANE,Souss-Massa,AIT MELLOUL,Souss-Massa,06/10/2020,2956,29,295,0,15,22,7.0,Mensuelle,07/08/2018,48.0,mois,10/09/2018,CENTRE D’AFFAIRES D'AGADIR,Développement,B,,,50.0,0.0,0.0,50.0,0.0,0.0,6106600.5,2508506.0,3598094.5,4442187.75,5891886.0,50.0,0.0,0.0,14109095.0,50.0,0.0,0.0,13263.25,17720452.75,14469.0,13899.5,17711944.25,3464711.25,1223222.0,420420.0,12816303.5,2238236.0,642642.0,-216216.0,-160160.0,15.0,0.0,0.0,0.5,3305051.75,0.0,3305051.75,4366111.75,12803290.5,1612110.5,17720452.75,25.0,0.0,0.0,18.7681,0.0,0.0,20.82015,33.0,0.0,0.0,0.5,34844.0,0
17,3120640,01A1647,INZEGANE,Souss-Massa,AIT MELLOUL,Souss-Massa,06/10/2020,2953,29,295,10,15,23,1.0,Mensuelle,16/09/2019,48.0,mois,05/08/2019,CENTRE D’AFFAIRES D'AGADIR,Développement,C,,,50.0,0.0,0.0,50.0,0.0,0.0,6106600.5,2508506.0,3598094.5,4442187.75,5891886.0,50.0,0.0,0.0,14109095.0,50.0,0.0,0.0,13263.25,17720452.75,14469.0,13899.5,17711944.25,3464711.25,1223222.0,420420.0,12816303.5,2238236.0,642642.0,-216216.0,-160160.0,15.0,0.0,0.0,0.5,3305051.75,0.0,3305051.75,4366111.75,12803290.5,1612110.5,17720452.75,25.0,0.0,0.0,18.7681,0.0,0.0,20.82015,33.0,0.0,0.0,0.5,34844.0,0
18,3066192,01A1692,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,21/11/2012,7470,74,747,5,4070,23,1.0,Mensuelle,20/06/2018,4.0,an(s),05/08/2018,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,3065812.75,1500248.75,1565564.0,2452700.25,44284740.5,0.0,0.0,0.0,49670120.5,0.0,0.0,0.0,217717.5,51453402.0,42647.0,29180.0,63583520.0,52767214.5,1776024.25,1517516.0,3964710.75,50967416.5,1114363.25,-410410.0,855855.0,0.0,0.0,0.0,0.0,6117861.75,880129.25,6997991.0,2975472.5,38702914.25,5752496.75,51453402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127040.0,0
19,3056937,01A1727,RABAT,Rabat-Salé-Kénitra,RABAT,Rabat-Salé-Kénitra,30/01/2014,6220,62,622,2,30,22,5.0,Mensuelle,30/03/2018,84.0,mois,,CENTRE D’AFFAIRES DE RABAT,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2333331.0,209209.0,2124122.0,128378.25,2639136.5,0.0,0.0,0.0,8077069.0,0.0,0.0,0.0,2144892.75,12346083.75,17481.75,10651.0,23467944.5,4580325.75,1215464.25,907156.25,12646383.75,3342339.0,822822.0,-181931.75,514514.0,0.0,0.0,0.0,0.0,5390385.0,912912.0,6303297.0,4891136.25,6013007.0,39706.333333333336,12346083.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46889.0,0
20,3117669,01A1734,FES,Fès-Meknès,CASABLANCA,Casablanca-Settat,17/08/2007,4521,45,452,20,60,23,5.0,Mensuelle,31/07/2019,60.0,mois,25/10/2019,CENTRE D’AFFAIRES DE FES,Développement,D,250.0,,0.0,0.0,0.0,0.0,0.0,0.0,3003000.0,589839.25,2413160.75,2444942.5,9309550.25,0.0,0.0,0.0,12513501.0,0.0,0.0,0.0,31531.5,14958193.25,12152.75,11327.25,19694675.0,4287032.75,1825573.75,945945.0,13844580.75,2409907.5,1597846.25,-427427.0,715965.25,0.0,0.0,0.0,0.0,4670415.75,110360.25,4780776.0,3008755.75,5460955.5,4716461.75,14958193.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39791.0,1
21,3105592,01A1784,OUARZAZATE,Drâa-Tafilalet,OUARZAZATE,Drâa-Tafilalet,02/03/2006,4521,45,452,3,660,24,1.0,Mensuelle,07/05/2019,48.0,mois,07/05/2019,CENTRE D’AFFAIRES D'AGADIR,Développement,C,2690.0,,0.0,0.0,0.0,0.0,0.0,0.0,23642368.75,7852094.25,15790274.5,11505744.25,14975961.0,0.0,0.0,0.0,31068287.25,0.0,0.0,0.0,11511.5,46870073.25,16305539.25,3118615.5,41607816.25,8026268.25,4194440.25,2926173.25,26740463.75,3681928.25,1878126.25,-981981.0,609859.25,0.0,0.0,0.0,0.0,17246979.75,4235731.5,21482711.25,11533772.25,14930916.0,10456446.0,46870073.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78938.5,1
