IDENTIFIANT_CREDIT,IDENTIFIANT_TIERS,VILLE_RC,REGION_RC,VILLE_TIERS,REGION_TIERS,DATE_CREATION_ENTREPRISE,CODE_SECT_ACTIVITE,CODE_BRANCHE_ACTIVITE,CODE_SSBRANCHE_ACT,NBRE_EMPLOI_ACREER,NBRE_EMPLOI_EXIST,ID_IFP,TAUX_INTERET,PERIODICITE,DATE_ACCORD,DUREE_CONCOURS,UNITE_DUREE_CONCOURS,DATE_PREMIER_DEBLOCAGE,CENTRE_AFFAIRE,FINALITE_CREDIT,CLASSE_RISQUE,NBRE_JOUR_IMPAYE,MONTANT_DEMANDE_MEJ,AGE1,AGE2,AGE3,ANTP1,ANTP2,ANTP3,CU,CV,CW,DO,DU,ENGA1,ENGA2,ENGA3,ET,EXP1,EXP2,EXP3,FF,FI,GI2,GI3,HA1,HA3,HA4,HA5,HDG,HP,HZ,JCX,KW,LFAS1,LFAS2,LFAS3,LOCALE,LP,LV,MC,MD,MP,MT,MU,NIVED1,NIVED2,NIVED3,NOTE11,NOTE12,NOTE13,NOTE14,PATR1,PATR2,PATR3,QALDE,RGI,DEFAUT,FLAG_SANS_INDICATEUR_FIN
3109385,01A2271,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,31/12/2014,140,1,14,0,6,7,5.5,Annuelle,10/06/2019,4.0,an(s),23/07/2019,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,10444058.625,4332757.0,6652896.25,1076075.0,443300.0,0.0,0.0,0.0,1494493.0,0.0,0.0,0.0,69944.875,8217334.125,4419790.375,2225097.875,6831574.75,1155654.5,830579.75,978852.875,5123368.25,371228.0,-234234.0,-110860.75,-86211.125,0.0,0.0,0.0,0.0,883632.75,1878501.625,2762134.375,3118615.5,5225345.125,262691.0,8217334.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13063.25,0,0
3104420,01A2277,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,16/04/1979,5241,52,524,8,110,23,5.95,Mensuelle,29/04/2019,60.0,mois,25/12/2019,CENTRE D’AFFAIRES DE CASABLANCA,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,12334536.5,8914834.5,3419702.0,21814078.0,1818459.5,0.0,0.0,0.0,28715115.0,0.0,0.0,0.0,3795649.0,35930466.0,22559834.285714287,14294367.57142857,43136736.5,7796503.0,2282280.0,1329971.5,26180368.5,5153863.0,1707992.0,-707778.5,748533.5,0.0,0.0,0.0,0.0,11490622.0,2432501.5,13923123.5,14341970.5,18057253.5,3950089.0,35930466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86070.85714285714,0,0
3078529,01A2430,RABAT,Rabat-Salé-Kénitra,RABAT,Rabat-Salé-Kénitra,04/03/1998,8022,80,802,0,135,9,6.5,Mensuelle,19/10/2018,5.0,an(s),10/01/2019,CENTRE D’AFFAIRES DE RABAT,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,11463452.0,7667159.5,3796292.5,0.0,1962460.5,0.0,0.0,0.0,2052550.5,0.0,0.0,0.0,691691.0,6540534.0,10849839.0,9912402.5,11465454.0,5372367.0,1558056.5,1212211.0,2212210.0,3763259.5,1037036.0,-19019.0,692692.0,0.0,0.0,0.0,0.0,4569565.0,714714.0,5284279.0,33033.0,1256255.0,0.0,6540534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22908.0,0,0
3049192,01A2444,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,15/01/2009,7421,74,742,0,2,5,7.5,Mensuelle,18/01/2018,10.0,an(s),,CENTRE D’AFFAIRES D’OUJDA,Développement,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
3081453,01A2535,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,18/02/2003,2225,22,222,0,13,23,7.0,Mensuelle,13/11/2018,60.0,mois,25/04/2019,CENTRE D’AFFAIRES DE FES,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,11990121.0,3965104.0,8025017.0,3923848.5,6518083.0,0.0,0.0,0.0,12439713.0,0.0,0.0,0.0,1276418.0,21741148.0,14423766.285714285,8135711.0,28245574.5,6755534.5,3817599.5,2895821.5,17856267.0,2898181.0,2988128.0,-257972.0,2063061.0,0.0,0.0,0.0,0.0,10300004.0,1813526.0,12113530.0,5105386.0,8442005.0,1185613.0,21741148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54314.57142857143,0,0
3089469,01A2535,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,18/02/2003,2225,22,222,0,13,1,5.0,Trimestrielle,17/01/2019,7.0,an(s),13/06/2019,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,11990121.0,3965104.0,8025017.0,3923848.5,6518083.0,0.0,0.0,0.0,12439713.0,0.0,0.0,0.0,1276418.0,21741148.0,14423766.285714285,8135711.0,28245574.5,6755534.5,3817599.5,2895821.5,17856267.0,2898181.0,2988128.0,-257972.0,2063061.0,0.0,0.0,0.0,0.0,10300004.0,1813526.0,12113530.0,5105386.0,8442005.0,1185613.0,21741148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54314.57142857143,0,0
3132633,01A2535,MEKNES,Fès-Meknès,MEKNES,Fès-Meknès,18/02/2003,2225,22,222,0,13,25,0.0,Mensuelle,04/12/2019,60.0,mois,29/06/2020,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,11990121.0,3965104.0,8025017.0,3923848.5,6518083.0,0.0,0.0,0.0,12439713.0,0.0,0.0,0.0,1276418.0,21741148.0,14423766.285714285,8135711.0,28245574.5,6755534.5,3817599.5,2895821.5,17856267.0,2898181.0,2988128.0,-257972.0,2063061.0,0.0,0.0,0.0,0.0,10300004.0,1813526.0,12113530.0,5105386.0,8442005.0,1185613.0,21741148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54314.57142857143,0,0
3099811,01A2748,SALE,Rabat-Salé-Kénitra,SALE,Rabat-Salé-Kénitra,15/07/1998,4522,45,452,2,205,23,0.0,Mensuelle,25/04/2019,48.0,mois,25/07/2019,CENTRE D’AFFAIRES DE RABAT,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,11394383.0,4476847.375,6917535.625,34120586.5,24325301.0,0.0,0.0,0.0,60762451.75,0.0,0.0,0.0,738362.625,68418350.0,35959914.375,23586497.75,58939630.75,10645509.875,4627122.5,2149147.0,43410492.125,5954949.0,3763009.25,-1980228.25,1285033.75,0.0,0.0,0.0,0.0,22287640.375,4076072.0,26363712.375,8650892.25,18666773.125,23387864.5,68418350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105342.25,0,0
3124249,01A2748,SALE,Rabat-Salé-Kénitra,SALE,Rabat-Salé-Kénitra,15/07/1998,4522,45,452,4,205,23,0.0,Mensuelle,27/09/2019,48.0,mois,25/05/2019,CENTRE D’AFFAIRES DE RABAT,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,11394383.0,4476847.375,6917535.625,34120586.5,24325301.0,0.0,0.0,0.0,60762451.75,0.0,0.0,0.0,738362.625,68418350.0,35959914.375,23586497.75,58939630.75,10645509.875,4627122.5,2149147.0,43410492.125,5954949.0,3763009.25,-1980228.25,1285033.75,0.0,0.0,0.0,0.0,22287640.375,4076072.0,26363712.375,8650892.25,18666773.125,23387864.5,68418350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105342.25,0,0
3054261,01A279,OUARZAZATE,Drâa-Tafilalet,OUARZAZATE,Drâa-Tafilalet,11/11/2004,6042,60,604,4,19,24,8.0,Mensuelle,17/02/2018,48.0,mois,,CENTRE D’AFFAIRES DE MARRAKECH,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,1082081.0,971047.0,180394.5,667833.8333333334,1698113.0833333333,0.0,0.0,0.0,2167236.5,0.0,0.0,0.0,152581.0,2500212.0,4448291.785714285,2554421.714285714,5438504.5,1837335.5,1105747.5,752323.0,1704917.5,707564.0,811811.0,-108108.0,458386.5,0.0,0.0,0.0,0.0,1517659.0,355140.5,1872799.5,176891.0,529743.5,113947.16666666667,2500212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10866.142857142857,0,0
